,target,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,learning_rate,RMSE,R2
0,Rm,300,15.0,17,17,3,0.27522337803196295,112.1281331394089,0.7481163219799754
1,Rm,156,,7,10,5,0.3411842489387896,109.49076005108857,0.7390567978743631
2,Rm,202,15.0,8,13,,0.6704370596776021,121.49550200647577,0.702256409406051
3,Rm,79,15.0,11,16,1,0.47842687578208265,114.2886595192605,0.7438623755569644
4,Rm,363,5.0,12,15,log2,0.3367842893491937,107.82688268547967,0.7507768150206385
5,Rm,101,10.0,6,4,,0.11327565835674139,116.40346556721893,0.7216278882119653
6,Rm,119,4.0,18,10,3,0.6326205223900493,108.26473798796351,0.7399949873755141
7,Rm,59,20.0,14,4,,0.5279734374407349,123.70589015999988,0.6921875175042712
8,Rm,308,3.0,3,13,10,0.4604253187337887,110.11701142951013,0.7505024082350445
9,Rm,321,20.0,12,9,1,0.44022196978098915,108.34585556928235,0.7672517191193716
10,Rm,433,3.0,5,1,5,0.32516921479908695,106.0105090492569,0.7797171199176169
11,Rm,500,2.0,2,3,1,0.6033199635093212,103.85177626236018,0.7737808061189956
12,Rm,500,2.0,13,10,5,0.01,132.3520393400355,0.6547321608275729
13,Rm,500,2.0,11,10,1,0.6053902288471552,106.93936334092567,0.7780298871430377
14,Rm,500,3.0,6,2,sqrt,0.19280235355446937,100.15548716723033,0.7810124518663266
15,Rm,500,,2,1,3,0.5199633226382648,126.85255485357057,0.6142510613589935
16,Rm,31,20.0,18,11,5,0.21132527156711928,105.31589689679535,0.7802387121622985
17,Rm,500,3.0,8,9,sqrt,0.18452761157318168,104.3665044546372,0.7857416541346618
18,Rm,500,2.0,2,1,sqrt,0.19689851958792523,99.36431249675552,0.8033839800163975
19,Rm,500,2.0,5,1,log2,0.19879188235669568,97.04574262962473,0.8000464870159034
20,Rm,500,2.0,5,1,1,0.2150443320892536,100.80272038457544,0.7992586539014962
21,Rm,450,2.0,3,20,1,0.40335027147414726,110.4308786286916,0.7656010766134549
22,Rm,365,20.0,20,1,10,0.1736305672275494,104.38872404770693,0.776285419622764
23,Rm,10,20.0,3,1,sqrt,0.20039350607011117,107.64256748169801,0.7534376308772767
24,Rm,10,10.0,3,7,3,0.59635704770275,116.45411052345192,0.7415797430651043
25,Rm,500,20.0,20,6,3,0.207917273343955,114.13265857804751,0.7506158201521215
26,Rm,500,2.0,5,5,log2,0.19948558519610066,102.02785383302373,0.7945555452057715
27,Rm,500,2.0,2,1,10,0.17856036907511108,101.1911308076536,0.7919712237092524
28,Rm,294,,20,1,3,0.1995948199653998,105.69875318175642,0.7542895182934166
29,Rm,387,5.0,2,1,sqrt,0.20173664205004593,106.85337113286519,0.782338530518575
30,Rm,500,,8,1,log2,0.633110257765097,127.34580157817452,0.6854483666830126
31,Rm,500,,17,1,log2,0.5822645977331553,130.25244974203105,0.7045370575696818
32,Rm,402,15.0,9,2,3,0.15683156058293962,110.17858741791137,0.7751914105757125
33,Rm,490,3.0,19,1,sqrt,0.16576012914683638,101.10720145691602,0.8071426930475929
34,Rm,500,,10,2,,0.2950027421702132,118.72618779105869,0.7153748221231115
35,Rm,497,2.0,6,1,log2,0.1953700104277357,97.02816003732639,0.7950750449695061
36,Rm,497,4.0,9,1,log2,0.1924926511454981,107.68307243219485,0.767806838529689
37,Rm,211,2.0,8,1,log2,0.19448502487652772,98.5472534438555,0.8113305158159896
38,Rm,412,2.0,6,1,sqrt,0.1964283950546048,96.76995181134652,0.7947763710476562
39,Rm,263,2.0,6,1,sqrt,0.19746561089365053,97.19130044214991,0.8212536446907689
40,Rm,500,2.0,6,1,sqrt,0.1954555068309975,96.8891564181038,0.8069536043690874
41,Rm,226,2.0,5,1,log2,0.19387699456958948,98.85331779590187,0.8142038585945895
42,Rm,432,2.0,7,1,sqrt,0.19752739744224432,97.10026067580286,0.8160123808627231
43,Rm,444,2.0,6,1,log2,0.19805858929948778,98.13413357578467,0.8138903392966307
44,Rm,500,2.0,10,1,sqrt,0.1763107946047873,99.7194187729651,0.8177174471315911
45,Rm,500,2.0,6,1,sqrt,0.2033073390567522,98.82481883646336,0.8120055643205009
46,Rm,440,2.0,5,2,sqrt,0.1519055799205453,94.24300991472505,0.8191129445667176
47,Rm,472,2.0,5,2,sqrt,0.12463247278428079,93.91157494010977,0.81701389989747
48,Rm,314,2.0,5,2,sqrt,0.12252834304543858,96.36583948990766,0.8140374337472296
49,Rm,403,2.0,8,3,sqrt,0.1820475116878259,99.42216402178357,0.8069850541760281
50,Rp02,300,15.0,17,17,3,0.27522337803196295,114.10250567458243,0.7382076619786964
